City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Wind Speed,Country,Date,Rain,Snow
56,Port Alfred,-33.59,26.89,61.0,69,9,Clear,8.01,ZA,2020-06-28 16:18:41,0.0,0
57,Mount Gambier,-37.83,140.77,42.8,87,27,Clouds,6.93,AU,2020-06-28 16:18:50,0.0,0
58,Ostrovnoy,68.05,39.51,43.18,75,91,Clouds,6.22,RU,2020-06-28 16:18:41,0.0,0
59,Traverse City,44.76,-85.62,73.4,49,20,Clouds,4.7,US,2020-06-28 16:20:10,0.0,0
60,Castro,-24.79,-50.01,54.68,85,100,Clouds,6.2,BR,2020-06-28 16:17:29,0.0,0
61,Balkhash,46.84,74.98,64.67,47,1,Clear,11.43,KZ,2020-06-28 16:17:47,0.0,0
62,Sioux Lookout,50.1,-91.92,77.0,61,20,Clouds,5.82,CA,2020-06-28 16:16:15,0.0,0
63,Chuy,-33.7,-53.46,54.19,61,3,Clear,5.91,UY,2020-06-28 16:17:59,0.0,0
64,Deputatskiy,69.3,139.9,54.86,88,33,Clouds,5.68,RU,2020-06-28 16:20:25,0.0,0
65,Ribeira Grande,38.52,-28.7,73.4,83,75,Clouds,12.75,PT,2020-06-28 16:18:45,0.0,0
66,Arosa,46.78,9.68,69.01,79,50,Rain,1.99,CH,2020-06-28 16:20:25,1.21,0
67,Hede,33.77,120.25,71.19,95,95,Rain,13.4,CN,2020-06-28 16:20:25,4.17,0
68,Lompoc,34.64,-120.46,59.0,93,100,Mist,8.05,US,2020-06-28 16:17:31,0.0,0
69,Mechetinskaya,46.77,40.46,79.43,46,0,Clear,5.46,RU,2020-06-28 16:20:25,0.0,0
70,Tombouctou,20.0,-3.0,113.79,6,25,Clouds,4.65,ML,2020-06-28 16:20:25,0.0,0
71,Margate,51.38,1.39,66.0,57,0,Clear,8.01,GB,2020-06-28 16:18:48,0.0,0
72,Luena,-11.78,19.92,78.8,41,0,Clear,5.82,AO,2020-06-28 16:20:25,0.0,0
73,Roma,43.21,-75.46,75.2,73,75,Clouds,9.17,US,2020-06-28 16:14:24,0.0,0
74,Seoul,37.57,126.98,73.4,94,74,Clouds,2.24,KR,2020-06-28 16:19:52,0.0,0
